"","ISCO88.COM..code","MAJOR..SUB.MAJOR..MINOR.AND.UNIT.GROUPS","...3"
"1",NA,"MAJOR GROUP 1: LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",NA
"2","11","Legislators and senior officials",9
"3","111","Legislators and senior government officials",9
"4","1110","Legislators and senior government officials",9
"5","114","Senior officials of special-interest organisations",9
"6","1141","Senior officials of political party organisations",9
"7","1142","Senior officials of employers', workers' and other economic-interest organisations",9
"8","1143","Senior officials of humanitarian and other special-interest organisations",9
"9","12","Corporate managers",9
"10","121","Directors and chief executives",9
"11","1210","Directors and chief executives",9
"12","122","Production and operations managers",9
"13","1221","Production and operations managers in agriculture, hunting, forestry and fishing",9
"14","1222","Production and operations managers in manufacturing",9
"15","1223","Production and operations managers in construction",9
"16","1224","Production and operations managers in wholesale and retail trade",9
"17","1225","Production and operations managers in restaurants and hotels",9
"18","1226","Production and operations managers in transport, storage and communications",9
"19","1227","Production and operations managers in business services enterprises",9
"20","1228","Production and operations managers in personal care, cleaning and related services",9
"21","1229","Production and operations managers not elsewhere classified",9
"22","123","Other specialist managers",9
"23","1231","Finance and administration managers",9
"24","1232","Personnel and industrial relations managers",9
"25","1233","Sales and marketing managers",9
"26","1234","Advertising and public relations managers",9
"27","1235","Supply and distribution managers",9
"28","1236","Computing services managers",9
"29","1237","Research and development managers",9
"30","1239","Other specialist managers not elsewhere classified",9
"31","13","Managers of small enterprises",10
"32","131","Managers of small enterprises",10
"33","1311","Managers of small enterprises in agriculture, hunting,  forestry and fishing",10
"34","1312","Managers of small enterprises in manufacturing",10
"35","1313","Managers of small enterprises in construction",10
"36","1314","Managers of small enterprises in wholesale and retail trade",10
"37","1315","Managers of small enterprises of restaurants and hotels",10
"38","1316","Managers of small enterprises in transport, storage and communications",10
"39","1317","Managers of small enterprises in business services enterprises",10
"40","1318","Managers of small enterprises in personal care, cleaning and related services",10
"41","1319","Managers of small enterprises not elsewhere classifie",10
"42",NA,"MAJOR GROUP 2: PROFESSIONALS",NA
"43","21","Physical, mathematical and engineering science professionals",5
"44","211","Physicists, chemists and related professionals",5
"45","2111","Physicists and astronomers",5
"46","2112","Meteorologists",5
"47","2113","Chemists",5
"48","2114","Geologists and geophysicists",5
"49","212","Mathematicians, statisticians and related professionals",5
"50","2121","Mathematicians and related professionals",5
"51","2122","Statisticians",5
"52","213","Computing professionals",5
"53","2131","Computer systems designers, analysts and programmers",5
"54","2139","Computing professionals not elsewhere classified",5
"55","214","Architects, engineers and related professionals",5
"56","2141","Architects, town and traffic planners",5
"57","2142","Civil engineers",5
"58","2143","Electrical engineers",5
"59","2144","Electronics and telecommunications engineers",5
"60","2145","Mechanical engineers",5
"61","2146","Chemical engineers",5
"62","2147","Mining engineers, metallurgists and related professionals",5
"63","2148","Cartographers and surveyors",5
"64","2149","Architects, engineers and related professionals not elsewhere classified",5
"65","22","Life science and health professionals",5
"66","221","Life science professionals",5
"67","2211","Biologists, botanists, zoologists and related professionals",5
"68","2212","Pharmacologists, pathologists and related professionals",5
"69","2213","Agronomists and related professionals",5
"70","222","Health professionals (except nursing)",13
"71","2221","Medical doctors",13
"72","2222","Dentists",13
"73","2223","Veterinarians",13
"74","2224","Pharmacists",13
"75","2229","Health professionals (except nursing) not elsewhere classified",13
"76","223","Nursing and midwifery professionals",13
"77","2230","Nursing and midwifery professionals",13
"78","23","Teaching professionals",13
"79","231","College, university and higher education teaching professionals",13
"80","2310","College, university and higher education teaching professionals",13
"81","232","Secondary education teaching professionals",13
"82","2320","Secondary education teaching professionals",13
"83","233","Primary and pre-primary education teaching professionals",14
"84","2331","Primary education teaching professionals",14
"85","2332","Pre-primary education teaching professionals",14
"86","234","Special education teaching professionals",13
"87","2340","Special education teaching professionals",13
"88","235","Other teaching professionals",13
"89","2351","Education methods specialists",13
"90","2352","School inspectors",13
"91","2359","Other teaching professionals not elsewhere classified",13
"92","24","Other professionals",9
"93","241","Business professionals",9
"94","2411","Accountants",9
"95","2412","Personnel and careers professionals",9
"96","2419","Business professionals not elsewhere classified",9
"97","242","Legal professionals",9
"98","2421","Lawyers",9
"99","2422","Judges",9
"100","2429","Legal professionals not elswhere classified",9
"101","243","Archivists, librarians and related information professionals",13
"102","2431","Archivists and curators",13
"103","2432","Librarians and related information professionals",13
"104","244","Social science and related professionals",13
"105","2441","Economists",9
"106","2442","Sociologists, anthropologists and related professionals",13
"107","2443","Philosophers, historians and political scientists",13
"108","2444","Philologists, translators and interpreters",14
"109","2445","Psychologists",13
"110","2446","Social work professionals",14
"111","245","Writers and creative or performing artists",14
"112","2451","Authors, journalists and other writers",13
"113","2452","Sculptors, painters and related artists",14
"114","2453","Composers, musicians and singers",14
"115","2454","Choreographers and dancers",14
"116","2455","Film, stage and related actors and directors",14
"117","246","Religious professionals",13
"118","2460","Religious professionals",13
"119","247","Public service administrative professionals",9
"120","2470","Public service administrative professionals",9
"121",NA,"MAJOR GROUP 3:  TECHNICIANS AND ASSOCIATE PROFESSIONALS",NA
"122","31","Physical and engineering science associate professionals",6
"123","311","Physical and engineering science technicians",6
"124","3111","Chemical and physical science technicians",6
"125","3112","Civil engineering technicians",6
"126","3113","Electrical engineering technicians",6
"127","3114","Electronics and telecommunications engineering technicians",6
"128","3115","Mechanical engineering technicians",6
"129","3116","Chemical engineering technicians",6
"130","3117","Mining and metallurgical technicians",6
"131","3118","Draughtspersons",6
"132","3119","Physical and engineering science technicians not elsewhere classified",6
"133","312","Computer associate professionals",6
"134","3121","Computer assistants",6
"135","3122","Computer equipment operators",6
"136","3123","Industrial robot controllers",6
"137","313","Optical and electronic equipment operators",6
"138","3131","Photographers and image and sound recording equipment operators",6
"139","3132","Broadcasting and telecommunications equipment operators",6
"140","3133","Medical equipment operators",6
"141","3139","Optical and electronic equipment operators not elsewhere classified",6
"142","314","Ship and aircraft controllers and technicians",6
"143","3141","Ships' engineers",6
"144","3142","Ships' deck officers and pilots",6
"145","3143","Aircraft pilots and related associate professionals",6
"146","3144","Air traffic controllers",6
"147","3145","Air traffic safety technicians",6
"148","315","Safety and quality inspectors",6
"149","3151","Building and fire inspectors",6
"150","3152","Safety, health and quality inspectors",6
"151","32","Life science and health associate professionals",14
"152","321","Life science technicians and related associate professional",6
"153","3211","Life science technicians",6
"154","3212","Agronomy and forestry technicians",6
"155","3213","Farming and forestry advisers",6
"156","322","Health associate professionals (except nursing)",14
"157","3221","Medical assistants",14
"158","3222","Hygienists, health and environmental officers",14
"159","3223","Dieticians and nutritionists",14
"160","3224","Optometrists and opticians",14
"161","3225","Dental assistants",15
"162","3226","Physiotherapists and related associate professionals",14
"163","3227","Veterinary assistants",15
"164","3228","Pharmaceutical assistants",15
"165","3229","Health associate professionals (except nursing) not elsewhere classified",14
"166","323","Nursing and midwifery associate professionals",14
"167","3231","Nursing associate professionals",14
"168","3232","Midwifery associate professionals",14
"169","33","Teaching associate professionals",14
"170","331","Primary education teaching associate professionals",14
"171","3310","Primary education teaching associate professionals",14
"172","332","Pre-primary education teaching associate professionals",14
"173","3320","Pre-primary education teaching associate professionals",14
"174","333","Special education teaching associate professionals",14
"175","3330","Special education teaching associate professionals",14
"176","334","Other teaching associate professionals",14
"177","3340","Other teaching associate professionals",14
"178","34","Other associate professionals",10
"179","341","Finance and sales associate professionals",10
"180","3411","Securities and finance dealers and brokers",10
"181","3412","Insurance representatives",10
"182","3413","Estate agents",10
"183","3414","Travel consultants and organisers",10
"184","3415","Technical and commercial sales representatives",10
"185","3416","Buyers",10
"186","3417","Appraisers, valuers and auctioneers",10
"187","3419","Finance and sales associate professionals not elsewhere classified",10
"188","342","Business services agents and trade brokers",10
"189","3421","Trade brokers",10
"190","3422","Clearing and forwarding agents",10
"191","3423","Employment agents and labour contractors",10
"192","3429","Business services agents and trade brokers not elsewhere classified",10
"193","343","Administrative associate professionals",10
"194","3431","Administrative secretaries and related associate professionals",10
"195","3432","Legal and related business associate professionals",10
"196","3433","Bookkeepers",10
