"","ISCO88.COM..code","MAJOR..SUB.MAJOR..MINOR.AND.UNIT.GROUPS","...3"
"1","","MAJOR GROUP 1: LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",NA
"2","11","Legislators and senior officials",9
"3","12","Corporate managers",9
"4","13","Managers of small enterprises",10
"5","","MAJOR GROUP 2: PROFESSIONALS",NA
"6","21","Physical, mathematical and engineering science professionals",5
"7","22","Life science and health professionals",5
"8","23","Teaching professionals",13
"9","24","Other professionals",9
"10","","MAJOR GROUP 3:  TECHNICIANS AND ASSOCIATE PROFESSIONALS",NA
"11","31","Physical and engineering science associate professionals",6
"12","32","Life science and health associate professionals",14
"13","33","Teaching associate professionals",14
"14","34","Other associate professionals",10
"15","","MAJOR GROUP 4:  CLERKS",NA
"16","41","Office clerks",11
"17","42","Customer services clerks",11
"18","","MAJOR GROUP 5:  SERVICE WORKERS AND SHOP AND MARKET SALES WORKERS",NA
"19","51","Personal and protective services workers",15
"20","52","Models, salespersons and demonstrators",15
"21","","MAJOR GROUP 6:  SKILLED AGRICULTURAL AND FISHERY WORKERS",NA
"22","61","Skilled agricultural and fishery workers",7
"23","62","Subsistence agricultural and fishery workers",7
"24","","MAJOR GROUP 7:  CRAFT AND RELATED TRADES WORKERS",NA
"25","71","Extraction and building trades workers",7
"26","72","Metal, machinery and related trades workers",7
"27","73","Precision, handicraft, craft printing and related trades workers",7
"28","74","Other craft and related trades workers",7
"29","75","Metal worker general",7
"30","","MAJOR GROUP 8:  PLANT AND MACHINE OPERATORS AND ASSEMBLERS",NA
"31","81","Stationary plant and related operators",8
"32","82","Machine operators and assemblers",8
"33","83","Drivers and mobile plant operators",8
"34","","MAJOR GROUP 9:  ELEMENTARY OCCUPATIONS",NA
"35","91","Sales and services elementary occupations",16
"36","92","Agricultural, fishery and related labourers",8
"37","93","Labourers in mining, construction, manufacturing and transport",8
"38","","MAJOR GROUP 0:  ARMED FORCES",NA
"39","10","Armed forces",NA
"40","","",NA
"41","Daniel Oesch, 7 January 2015","",NA
